id,question,answer,category
faq_001,배송은 며칠 걸리나요?,일반적으로 결제 완료 후 2~3 영업일 내에 배송됩니다.,배송
faq_002,배송비는 얼마인가요?,"기본 배송비는 3,000원이며, 일부 상품은 무료배송이 적용됩니다.",배송
faq_003,무료배송 기준은 어떻게 되나요?,"50,000원 이상 구매 시 무료배송이 적용됩니다.",배송
faq_004,당일 출고가 가능한가요?,오전 11시 이전 결제 완료 건은 당일 출고가 가능합니다.,배송
faq_005,배송 조회는 어디서 하나요?,마이페이지 > 주문내역에서 운송장 번호로 조회하실 수 있습니다.,배송
faq_006,해외 배송도 가능한가요?,"현재 국내 배송만 지원하며, 해외 배송은 준비 중입니다.",배송
faq_007,배송 지연 시 어떻게 안내되나요?,배송 지연 시 SMS 및 이메일로 안내드립니다.,배송
faq_008,주말/공휴일에도 배송되나요?,주말 및 공휴일에는 배송이 이루어지지 않습니다.,배송
faq_009,택배사는 어디를 이용하나요?,"CJ대한통운, 로젠택배 등을 이용합니다.",배송
faq_010,배송 시간을 지정할 수 있나요?,현재 배송 시간 지정 서비스는 제공되지 않습니다.,배송
faq_011,여러 상품을 주문했는데 따로 배송되나요?,재고 상황에 따라 나뉘어 배송될 수 있습니다.,배송
faq_012,도서산간 지역 추가 배송비가 있나요?,"도서산간 지역은 추가 배송비 3,000~5,000원이 발생합니다.",배송
faq_013,배송 중 주소 변경이 가능한가요?,출고 전에만 주소 변경이 가능합니다. 고객센터로 문의해 주세요.,배송
faq_014,배송 완료로 표시됐는데 상품을 못 받았어요.,고객센터로 문의해 주시면 택배사와 확인 후 안내드립니다.,배송
faq_015,부재 시 상품은 어떻게 처리되나요?,"부재 시 문앞이나 경비실에 보관되며, 기사 메모를 확인해 주세요.",배송
faq_016,어떤 결제 수단을 지원하나요?,"신용카드, 체크카드, 무통장입금, 카카오페이, 네이버페이를 지원합니다.",결제
faq_017,카드 결제가 실패했어요. 왜 그런가요?,"카드 한도 초과, 유효기간 만료, 비밀번호 오류 등이 원인일 수 있습니다.",결제
faq_018,무통장 입금은 어떻게 하나요?,주문 시 안내된 계좌로 입금 후 마이페이지에서 입금 확인을 눌러주세요.,결제
faq_019,결제 취소는 언제까지 가능한가요?,출고 전까지 마이페이지에서 직접 취소하실 수 있습니다.,결제
faq_020,부분 결제가 가능한가요?,적립금과 쿠폰을 함께 사용하는 방식으로 부분 결제가 가능합니다.,결제
faq_021,할부 결제도 지원되나요?,신용카드 결제 시 2~12개월 할부 선택이 가능합니다.,결제
faq_022,영수증 발급은 어떻게 하나요?,마이페이지 > 주문내역 > 영수증 발급 메뉴를 이용해 주세요.,결제
faq_023,결제 금액이 중복으로 결제됐어요.,고객센터로 문의해 주시면 확인 후 즉시 처리해 드립니다.,결제
faq_024,해외 카드 결제가 가능한가요?,"Visa, Mastercard 등 해외 카드도 결제 가능합니다.",결제
faq_025,쿠폰과 적립금은 함께 사용 가능한가요?,쿠폰과 적립금은 동시에 사용하실 수 있습니다.,결제
faq_026,주문 후 변경이 가능한가요?,출고 전에만 옵션 및 수량 변경이 가능합니다. 고객센터로 문의해 주세요.,주문
faq_027,주문 취소는 어떻게 하나요?,마이페이지 > 주문내역에서 취소 버튼을 클릭하시면 됩니다.,주문
faq_028,주문 내역은 어디서 확인하나요?,마이페이지 > 주문내역에서 확인하실 수 있습니다.,주문
faq_029,주문이 정상적으로 완료됐는지 확인하고 싶어요.,주문 완료 후 이메일과 SMS로 주문 확인 메시지가 발송됩니다.,주문
faq_030,상품 옵션을 잘못 선택했어요.,출고 전이라면 고객센터로 문의해 주시면 변경 가능합니다.,주문
faq_031,주문 후 주소를 변경하고 싶어요.,출고 전에만 주소 변경이 가능합니다. 고객센터로 즉시 연락해 주세요.,주문
faq_032,여러 개 주문했는데 일부만 취소할 수 있나요?,"부분 취소는 마이페이지에서 가능하나, 상품에 따라 제한될 수 있습니다.",주문
faq_033,비회원도 주문이 가능한가요?,"비회원 주문도 가능하며, 이메일과 휴대폰 번호로 주문 조회가 가능합니다.",주문
faq_034,주문 확인 메일이 오지 않았어요.,스팸 메일함을 확인해 주시거나 마이페이지에서 직접 확인해 주세요.,주문
faq_035,동일 상품을 여러 번 주문했어요.,중복 주문은 출고 전 고객센터로 문의해 주시면 취소 처리해 드립니다.,주문
faq_036,환불은 어떻게 진행되나요?,마이페이지 > 반품/교환 신청 후 상품을 반송하시면 확인 후 환불됩니다.,환불/교환
faq_037,환불 기간은 얼마나 걸리나요?,상품 회수 후 2~5 영업일 내에 환불 처리됩니다.,환불/교환
faq_038,교환은 어떻게 신청하나요?,마이페이지 > 반품/교환 신청에서 교환 사유를 선택 후 접수해 주세요.,환불/교환
faq_039,상품 불량 시 어떻게 처리되나요?,불량 사진과 함께 고객센터로 접수해 주시면 교환 또는 환불 처리해 드립니다.,환불/교환
faq_040,단순 변심으로도 환불 가능한가요?,수령 후 7일 이내라면 단순 변심으로도 환불 가능합니다.,환불/교환
faq_041,환불 시 배송비는 누가 부담하나요?,"단순 변심은 고객 부담, 상품 불량은 판매자 부담입니다.",환불/교환
faq_042,부분 환불이 가능한가요?,일부 상품만 반품 시 해당 상품 금액만 환불됩니다.,환불/교환
faq_043,환불이 거절되는 경우도 있나요?,"상품 사용 후, 태그 제거 후, 7일 초과 시에는 환불이 어려울 수 있습니다.",환불/교환
faq_044,교환 배송비는 얼마인가요?,"단순 변심 교환은 왕복 배송비 6,000원이 발생합니다.",환불/교환
faq_045,환불 금액은 어디로 반환되나요?,"결제 수단으로 반환됩니다. 카드는 취소, 계좌이체는 환불 계좌로 입금됩니다.",환불/교환
faq_046,카드 취소는 언제 반영되나요?,카드사에 따라 3~5 영업일이 소요됩니다.,환불/교환
faq_047,상품을 이미 사용했는데 환불되나요?,사용한 상품은 원칙적으로 환불이 불가합니다.,환불/교환
faq_048,세일 상품도 환불 가능한가요?,세일 상품도 동일한 환불 정책이 적용됩니다.,환불/교환
faq_049,교환 상품은 언제 다시 배송되나요?,반품 상품 회수 후 1~2 영업일 내에 재발송됩니다.,환불/교환
faq_050,환불 진행 상태는 어디서 확인하나요?,마이페이지 > 반품/교환 내역에서 실시간으로 확인하실 수 있습니다.,환불/교환
faq_051,회원가입은 어떻게 하나요?,홈페이지 상단 회원가입 버튼을 클릭해 이메일과 비밀번호를 입력해 주세요.,회원
faq_052,비밀번호를 잊어버렸어요.,로그인 페이지에서 비밀번호 찾기를 클릭해 이메일 인증으로 재설정하세요.,회원
faq_053,회원 탈퇴는 어떻게 하나요?,마이페이지 > 회원정보 > 회원탈퇴에서 신청하실 수 있습니다.,회원
faq_054,이메일을 변경하고 싶어요.,마이페이지 > 회원정보 수정에서 이메일을 변경하실 수 있습니다.,회원
faq_055,비회원 주문 조회는 어떻게 하나요?,주문조회 페이지에서 주문번호와 이메일(또는 휴대폰)로 조회 가능합니다.,회원
faq_056,로그인 오류가 발생해요.,비밀번호 확인 후 오류가 지속되면 비밀번호 재설정이나 고객센터에 문의해 주세요.,회원
faq_057,계정이 잠겼어요. 어떻게 해야 하나요?,비밀번호 5회 오류 시 계정이 잠깁니다. 고객센터로 문의해 주세요.,회원
faq_058,SNS 로그인도 가능한가요?,"카카오, 네이버, 구글 계정으로 소셜 로그인이 가능합니다.",회원
faq_059,개인정보 수정은 어디서 하나요?,마이페이지 > 회원정보 수정에서 변경하실 수 있습니다.,회원
faq_060,계정 보안은 어떻게 유지되나요?,"비밀번호는 암호화 저장되며, 로그인 알림 서비스를 이용하실 수 있습니다.",회원
faq_061,쿠폰은 어떻게 사용하나요?,결제 페이지에서 쿠폰 선택 후 적용 버튼을 클릭하시면 됩니다.,쿠폰/적립금
faq_062,쿠폰 유효기간은 어떻게 되나요?,"쿠폰마다 유효기간이 다르며, 마이페이지 > 쿠폰함에서 확인하실 수 있습니다.",쿠폰/적립금
faq_063,적립금은 언제 지급되나요?,구매 확정 후 익일 적립됩니다.,쿠폰/적립금
faq_064,적립금 사용 조건이 있나요?,"최소 1,000원 이상 보유 시 사용 가능하며, 최소 주문금액 조건이 있을 수 있습니다.",쿠폰/적립금
faq_065,쿠폰이 적용되지 않아요.,쿠폰 적용 상품 및 최소 주문금액 조건을 확인해 주세요.,쿠폰/적립금
faq_066,쿠폰 중복 사용이 가능한가요?,"동일 종류의 쿠폰은 중복 사용이 불가하며, 적립금과는 함께 사용 가능합니다.",쿠폰/적립금
faq_067,적립금 환불도 가능한가요?,적립금으로 결제한 금액은 환불 시 적립금으로 재지급됩니다.,쿠폰/적립금
faq_068,이벤트 쿠폰은 어디서 확인하나요?,이벤트 페이지 또는 마이페이지 > 쿠폰함에서 확인하실 수 있습니다.,쿠폰/적립금
faq_069,상품 재입고는 언제 되나요?,상품 페이지에서 재입고 알림 신청을 하시면 입고 시 알림을 받으실 수 있습니다.,상품
faq_070,상품 상세 정보는 어디서 확인하나요?,"상품 페이지에서 상세 정보, 사이즈 가이드, 소재 정보를 확인하실 수 있습니다.",상품
faq_071,품절 상품은 다시 구매할 수 있나요?,재입고 알림을 신청하시면 재입고 시 안내드립니다.,상품
faq_072,상품 사이즈 교환이 가능한가요?,수령 후 7일 이내에 미착용 상태라면 사이즈 교환이 가능합니다.,상품
faq_073,실제 색상과 차이가 있나요?,모니터 설정에 따라 색상이 다를 수 있으므로 상세 이미지를 참고해 주세요.,상품
faq_074,상품 보증 기간이 있나요?,"상품에 따라 다르며, 상세 페이지에서 확인하실 수 있습니다.",상품
faq_075,상품 리뷰는 어디서 확인하나요?,상품 페이지 하단 리뷰 탭에서 구매자 리뷰를 확인하실 수 있습니다.,상품
faq_076,고객센터 운영 시간은 어떻게 되나요?,"평일 오전 9시 ~ 오후 6시 운영하며, 주말 및 공휴일은 휴무입니다.",고객센터
faq_077,문의는 어떻게 남기나요?,고객센터 페이지 또는 마이페이지 > 1:1 문의에서 접수하실 수 있습니다.,고객센터
faq_078,전화 상담도 가능한가요?,1588-0000으로 평일 오전 9시 ~ 오후 6시에 전화 상담 가능합니다.,고객센터
faq_079,앱과 웹 기능이 다른가요?,"동일한 기능을 제공하며, 앱은 푸시 알림 등 추가 편의 기능이 있습니다.",고객센터
faq_080,오류 발생 시 어떻게 신고하나요?,"고객센터 > 오류 신고 메뉴를 이용하거나, 캡처 이미지와 함께 1:1 문의로 접수해 주세요.",고객센터
